,0
0,"I bought summer trousers totally satisfied, low price good quality."
1,Have very good experience with wings Stuff is super cool Just try it you will love the quality #wings #fineststuff #satisfied #staysafe
2,"Product Awesome Packing jst amazing so soft nd looking elegant, delivery timing also good.....i jst loved it...😊"
3,The best quality with a reasonable price. Outclass leather products and interesting T Shirt Designs.
4,"I got a beautiful lovely leather wallet. Packing is just marvellous, royal look and feel."
5,The shirts are awesome at a reasonable price. Design and quality are also unique..
6,"Loved your products, highly satisfied with your quality."
7,Good product quality and fast delivery :D
8,Awsum products with intime delivery
9,"These goods are superb and do not appear to be inexpensive. The cloth is thick and pleasant to the touch, much better than I expected for the price, and it arrived quickly. Very comfy and well-fitting."
10,STAY AWAY.  Don’t trust these fake reviews.  The pants are the worst quality I’ve ever bought.  They arrived missing a belt loop and with a hole in the left pocket.  The material feels like cheap 1970s plasticky polyester.  Man did I fall for the slick marketing and fake reviews.  This is bad Chinese garbage.
11,Ordered stretch trousers 40 in waist 33 leg when they finally arrived honestly they are more like 36 waist and 28 leg with about 1 mm stretch just chucked straight in the bin cba to send back.Just order from amazon 100% reliability and its EASY to return
12,I got the wrong color of pants and they have one of the poorest customer support services I have ever experienced. They still haven’t properly addressed the mistake even though I have been messaging them via different channels. Makes it seem like a one man operation.
13,"The design of the pants is really modern which is great for business wear. The fabric is firm and durable even if you try stretching it out, it still goes back into place. A great deal for such quality pants."
14,"Extremely cheap material and 2/10 workmanship. You’re not only wearing plastic, you’re wearing something that looks and feels plastic. This can be bought at discount shops for $25 here, but it’s worth $5-10 max.Let this be the first real review since the others obviously look fake (posted around the same date, reviewers have only 1 review on their account and they have no further reviews on the company page since the fake ones were posted).This isn’t the only deceit these people participate in. Their “founders picture” on the website is a stock image. There is no address listed on their site and the product is shipped from China. This leads me to conclude this is a knockoff dropshipping brand with false advertising and marketing. I’ll be reporting them to the FTC in the usa and whatever the european version of that is for false claims and fake reviews. Furthermore I’ll report them to facebook when they ask me to fill in the post purchase survey."
15,"DO NOT ORDER FROM THESE GUYS, THEY ARE A SCAM! Took my money, waited 4 weeks, emailed them and they said they would send me a new shipping order and never heard from them again. Report them as fraud to your bank and you should get your money back"
16,"When the shirts arrived - very quickly in fairness to them - I was very pleased. The quality seemed good. However, 2/3 washes later the shirts are beginning to fall apart. Having raised my issue with jersey loco I was told that I was washing them incorrectly!! Great customer service guys!!! I wash the kit if a junior football team every week so I know what I am doing!!$100 down the drain. Avoid like the plague…:if you want to buy crap fakes go elsewhere."
17,"Good luck to get refunded.Phoned at least 5x, 1st time spoke to someone who said someone would call back, never happened. The 4 other times, answering machine full.Wrote many times, useless.Quality was more than fine but size was not appropriate.I paid to have my package sent back to me if no recipient, never happened either."
18,"Do NOT order Jerseys from this website. I've yet to receive my jersey order and it has been 4 months.- I purchased a jersey from Jersey Loco on June 23rd, and paid for express shipping, hoping to receive it in time to start my soccer season. - On June 26th, they contacted me to advise that they were unable to provide express shipping and that they only had their standard shipping available. As I needed this jersey as soon as possible, I requested that my order be cancelled and refunded in its entirely, on the same day that they contacted me. - On June 30th, I reached out to them for a follow up as I had not received a confirmation or acknowledgement from their part. - On July 1st, they replied and advised that this would be escalated to management. - I followed up with them on July 6th and then again on July 11th, with no response, and I am yet to hear from them. The funds have been debited from my credit card and I have not received my item, nor have a I received a response or a tracking number."
19,"Order number 69604.  I am going through the same frustration as others with no action being taken by the company to resolve my problems. Emails, messengers, phone calls and no responses.  I have sent them another email advising them they have 7 days to resolve my problem or I will be taking further action. Please avoid this company!"
20,"Received an incomplete order. Sended an email 3 times, without any answer. Still missing one shirt."
21,"We ordered a Hoffenheim jersey months ago. Funny how fast they took our money but they never delivered the jersey. We filed a fraud complaint with our bank and let JerseyLoco know. All of a sudden, they have offered a jersey of our choice if we withdraw the complaint and send them copies of the withdrawal letter which we did. Guess what? Still no jersey. Be very careful when ordering from them."
22,"BE ADVISED!!! Do NOT order from this website.  Unfortunately, I have had to turn them into the BBB and now my bank is investigating them for fraud. I placed an order in July 2. It’s September 12th and I still don’t have the merchandise or refund. After 20+ emails, all I get is 2  emails stating sorry my emails went to spam & your order has been shipped out. A tracking number will follow in a couple days. But yet….still no tracking number or merchandise.  Again, DO NOT ORDER FROM THIS COMPANY!!!"
23,I bought the home Crystal Palace jersey 21/22 as it was no longer available in the UK in my size. I received the product with no issue and was initially happy with the product. But after a few days I could tell that some of the detail is off. The badge is not straight and slightly bigger and not as bright as the original on the away 21/22 Jersey and other jerseys I have. Also the Pantone colour is the wrong on the sponsor. The website says they are original but it is clear they are just quite good fakes.
24,I have been waiting for 30 of June to till now 28 of August sending email after email with always they say track your order tired more than 30 times and I can't track it again live chat same track your order always same response a call to California international call from Europe to words us you don't really talk to no one just a pre massage saying pls leave you number we will call you which I find weird trying to look at there policy on web site live chat. Keeps popping up with no live agent I keep getting login out for no reason to the point I want nothing to do with them a want a refund was looking at polecy where should I go? Pls help
25,"They sent me a false tracking number and then reply that the item was probably lost and that they can send me again but then nothing, no answers. In fact they replied me telling my email was in spam accidentally but then when I ask for a refund they never answered again…"
26,"Ordered 30.6. 22 , 2 jerseys. Never delivered. Apparently all my emails went to spam. Today 18.8. 22 still nothing delivered. Never got tracking number. Will go to the bank a try to get the money back as this is 100% spam"
27,I previously wrote that this is a scam site and still believe. After my first review they pretended to contact me to follow up on my order. Needless to say nothing further happened !Ordered in March and still nothing to show for it. Don’t do it is my advise. The good reviews are likely fakes !!You have been warned - do not use them !!!
28,"They missed one jersey in my 3 for $100 order, two arrived 2 weeks after the order, 1 was missing. I sent them 3 emails, and in 4 weeks not a single reply, no customer service what so ever. So if you do order something you better hope everything is ok because if anything is wrong no one will bother to help you. Jerseys are ok, you can see it is not original, very good copies, but that why are those prices. And that is if you get everything what you ordered."
29,"Having bought the genuine Nike home and away kits from official retaliers for my son here in the UK, the team's third kit was out of stock in my son's size. Unfortunately when the kit arrived it is obviously a fake. The quality of the material, logos and personalisation used are all obviously fake in comparison to the genuine kits bought from the club shop. Even the sizing of the sponsors logo and name set are all off.If you think you are purchasing a genuine official item, think again."
30,"First time ever purchasing a product from them and was hesitant at first. Price seemed to good to be true. Decided on buying a Ajax kit since my local store was out of stock. Took about 2 weeks to receive (California). But definitely worth the wait! Even took the kit to my local shop to compare the quality. Must I say, besides being perfect quality with a visual comparison, I will no longer be shopping elsewhere but from this company!"
31,"Ordered 2 different jerseys, and they accidentally sent me 2 of the same. That can happen, no problem, but i emailed them several times and tried to call them and there is no way to get in touch with them. They dont respond to email and they dont pick up the phone. Therefore i am very unhappy with this company and i will advice anyone against doing business with them."
32,The company requested for additional info so here goes. I ordered 3 jerseys on 06/08/2022 with order number 59022 for the sum of $120.47 before taxes but got 2 delivered. Numerous emails have gone unanswered. Phone goes to voicemail regardless of ehen you call. Won't respond to chats.
33,"I ordered 3 jerseys and paid over 100 dollars on June 1st, June 15th says my order/shipping cancelled or exceptional delay occurred or cancellation. I really don’t know what an exceptional delay could be so today is June 28 and I still don’t have my items. I send them three messages and they did not respond me at all I ended up finally claim with my bank to get my money back I would absolutely not recommend this website you’re better off paying a little bit more price and buying from a trusted company."
34,There is currently a problem with the shipping for ny order and my package's in China since about 1 1/2 month and when i ask them for some more information on my order they dont actually help me so F YOU JERSEY LOCO bunch of scammers
35,"I'm in the USA. I had doubts about ordering. Yes, it takes a bit longer for the product, but....when I opened the package, it was worth the wait. the quality is excellent, the fit is as well. All the complaints are delivery and odd things, but no complaints on the quality of the product. OK, it isnt made in the USA, what is. it ships fast, but it doesn't arrive in two days, so what. I highly reccomoent AAA."
36,It been a month since i order some Amir black jeans. Sad things is that I spent almost 100 dollars on some damn jeans. I try to refund it back it wouldn’t let me so whoever buys from this Website. Do not do it! It a scam everyone it sad people still out here scamming our community and culture. Somebody need to get rid of this website or report it
37,If I could give a review of 0 I would. First off they are not in California as the website says. This F’n scam company is in China! I’ve been waiting weeks for my order and the site says your order will ship in a few days. I will never never ever buy a f’n thing from this company ever again. Save your money and buy somewhere else!
38,"Ordered on December 18th and received my order on January 11th. Keep in mind we're still in a pandemic so having stuff shipped from China to America is gonna take longer than what you want to expect. Got my hoodie the way I wanted it, they'll get back to you when you email them for reassurance. You just got to have patience and it'll be there before you know it. 5 stars!"
39,"Ordered a shirt on Jan 12, 2022 for a Tool concert on Feb 5. Supposed to arrive by the 27th. It’s been “in my city’s mail carrier” since the 23, but it says it’s cancelled. Despite the money being taken from my account as soon as I bought it. and the phone number on the website gives me a custom garage company in California."
40,Ordered a Guns N Roses hoodie on January 13 and just got it today and it was some Spanish hoodie. Not what I ordered. Tried calling the number from the site and could tell it was a scam site so just wanted to to leave a review to not order anything from this site. You WILL GET RIPPED OFF!!!
41,They are definitely a scam just call the numbers they give....one is for a garage door company and the other is some old white lady that told me she gets 30 calls a day about packages and have no clue what is going on. Now she just answer and say you have been scammed. The good reviews on here are people that are in on the scam!!! Let's figure out how to get the FBI onto this company trail
42,I went online on 12/7/2021 and ordered a Formula 1 Lewis Hamilton bomber style jacket.  I kept a PDF of the online order.  I got no other correspondence from Ahashirt.  I could look up the order for two weeks on their website and then it disappeared.  It did show in production before disappearing.  The jacket showed up on 1/2/2022 and looked exactly as advertised.  I never received an acknowledgement email of my order.  So I had no idea if or when it would arrive.  Their customer email and phone numbers go unanswered.
43,"IT HAS BEEN CONFIRMED,  THIS SO CALLED COMPANY AHASHIRTS IS BOGUS!!!! ORDERED SOMETHING IN 10/ 21 , ITS NOW 12/ 21....WHATEVER YOU DO STAY AWAY FROM THEM. THEY EMAILED ME A GENERIC RESPONSE THAT YOU CAN TELL IS FROM OVERSEAS WITH BROKEN ENGLISH. THATS DEFINITELY NOT HOW COMPANIES DO ANYTHING."
44,"I’ve shopped with this page a total of 5 times first two times went extremely smooth, three times after were hell multiple times they didn’t even email back until days later , multiple times they couldn’t tell me where my actual packages were now I just purchased from them yesterday now they’re telling me they don’t have my payment and I have 3 transactions proving I paid for my item it will definitely be the last time I waste my money here"
45,"If I can rate them 0 I would proper scam artists, I placed order on 26 September worth £136, still haven’t received it, I have tried numerous times to contact them at first they were replying, and now they have stopped, seems like they’ve took my money and not post anything out to me, just ignoring me now AVOID AVOID AVOID they will take your money and not send anything"
46,As of today 07/22/20 I havent heard from them. Paid $21.00 for DHL shipping (6-8 days) but Nothing yet almost 20 days later I have no idea what happened to my order. They sent me a tracking number wich dont show me NOTHING about the status of my order. also emailed them and havent gotten any answers(Order ID: 8995747Date Added: 10/07/2020Your order has been updated to the following status:All Shipped)
