Number,Comments
1,"All this place does is double the price of Amazon products. I use the shop app which tells me who fulfils the order and yep, I can see that it ships straight from Amazon. I went onto amazon and searched and found the exact same jackets that I ordered from Angel Jackets but for HALF the price that Angel Jackets is selling them for. And on top of that, Angel Jackets charges a restocking fee - which Amazon does not! And you also have to pay return shipping. I really wish I had noticed this before ordering from Angel Jackets. I feel so ripped off right now."
2,"The jacket purchased for my husband fits perfectly, couldn’t be happier and I do intend to be a repeat customer. Highly recommend Angel Jackets. Customer service was spot on as we were asked if we were purchasing the correct size .. we were and we did!!"
3,"I received my order from Angel Jackets and have to say I was totally happy with my purchase. The quality and craftsmanship of my jacket is excellent. Soft, comfortable,  well made and at a very fair price. I’ll definitely buy again from this retailer."
4,"I'm a new customer but am so impressed with the service and quality of the products sold, l have bought 3 jackets in the last few months. Whatever issues may arise, Angeljackets resolve them in an efficient and timely manner."
5,"It is greatI ordered a leather jacked. I ordered a large, then I received an email asking me to take some measurements before I placed my order. I took thosemeasurements and then ordered an extra large. It fit perfectly when I got it. Thanks for the extra email."
6,"I am so excited about my new leather jacket! The style and fit are exactly as described. I considered ordering a size up, based on a few reviews, but was glad that I did not as it fits true to size. There was an unpleasant odour when I first unpacked it, but after a few hours it had aired out and now smells like fresh leather. I love it!"
7,"I am wowed by the value of my jacket. The attractive yet suspiciously low price had me questioning the jacket’s quality.but after studying Angel Jacket’s return policy and following their detailed sizing guide, I was reassured that ordering this jacket online was not risky. I am ecstatic with my purchase. The fit and the soft quality leather satisfies me 100%. This was a five star purchase."
8,"I did a search for a leather jacket. After spending some time searching, I was taken by the look and styles of the jackets sold by this company. I found what I was looking for and was lucky that they had a promotion to go with it. The follow up emails were prompt and informative. The shipping was quick and free. Upon receiving my jacket, I was pleasantly surprised that the quality was excellent, and the color as shown in the ad. I highly recommend you take a look at their site."
9,"I tried to purchase a leather Jacket (UK) via paypal -3 Inst. Then I received a message saying that the purchase will be complete once the whole amount is received (which is going to be three months later when it won't be needed anymore). I have tried to contact the customer care twice to cancel the order as Paypal suggested. No response. I don't know the quality of the jackets, but your customer care doesn't match the quality to satisfy a customer. Customer care should not be provided only if you purchase something. For sure you have lost one even before I buy anything."
10,"Have to admit I was a little wary of ordering from Angel Jackets, as was unfamiliar with the company... but SO glad I did! The entire experience was easy, my orders (I made two separate ones because I was so pleased with my original order) were delivered quickly. The jackets I received were beautiful- the quality is top notch, the attention to detail is great. The sizing chart is accurate. I couldn't be happier with every aspect of dealing with Angel Jackets. Highly recommend."
11,"Awesome blazer! Received a lot of compliments on it. Nice fit, beautiful black color, thick yet soft leather, totally clean, no odors, and came with original tags, great piece. Had some delays with shipping my order, but this doesn't seem to be representative of their usual service. The customer support team responds quickly. Overall, I highly recommend it :)"
12,"I really like this jacket. Fits snug,but that is what I wanted, I ordered a medium and it fits good. The jacket needs to get broken in. However, once that happens this will be an excellent jacket I give it 5 out of 5 star"
13,"I totally loved the style of my jacket and the feel of the leather!So Fashionable and sophisticated, yet light in weight. I couldn't resist getting one for my husband, he received it yesterday and he is sooo thrilled about it, perfect fit and sits well on his 6ft + frame!"
14,"Delivery was quick for me, had no issues there. Ordered the wrong size but they have been very helpful with the exchange process. The quality of the jacket felt high standard."
15,A trustworthy company with quality merchandise. Keeps you informed and delivers fast. I am very happy with my purchase.
16,Good quality jacket true to size. Kept informed from order to delivery and arrived in good time.Lovely jacket have had lots of compliments. Would recommend.
17,"Best customer service, super fast post, value for money Tuxedo, I ordered the wrong size pants, they bent over backwards for me to help. They sent a second pair, faster post than the first. This has been the best experience of have had with a web based company in many years. Highly recommend them as a AAA+++ business."
18,Excellent communication and service. Jacket arrived within 5 days of international order. High quality; couldn't be more pleased
19,I ordered a cognac brown jacket and it has just arrived. I can honestly say I was nervous opening it because I thought it was going to be too good to be true!!! The customer service has been brilliant from day one and it has reached me in a really timely manner as well. The jacket is a gorgeous waxy brown cognac colour and seems to be very well finished. It is slightly thinner (and therefore lighter) than a cow leather jacket I own but this is lambskin which will be perfect for spring and autumn. I am honestly stoked! Also pls follow the measurements online. They’re pretty spot on.5 stars guys. Now I only wish you had some other colours like deep inky blues and greens.
20,"I highly recommend this company. My jacket is beautiful, well made and a great price. The good were shipped straight away and arrived promptly. I’m so happy with my purchase!"
21,Great products!Great price!Great service!Great online and product return policy!...and that's from a Man United Fan buying in the old enemy territory!
22,Amazing service!!Quick response really catered to my needs beautiful pieces went out of their way to help me.Definately will be a customer again!G x
23,"Shoes came very fast and was in great condition, just discovered the shop too looking for some designer sale and Common Projects!"
24,"I love their products, they are beautiful, fast delivery and comfortable to wear"
25,"I've shopped online with Union22 several times over the years.  Even for online, you get a very personal service, quick email comms and handwritten thank you notes added to your package, for example. They also have one of the best collections of brands in the country. Would love to visit the shop one of these days! Highly recommended!"
26,Great store for mens clothes and the latest sunglasses with exceptional service from Dale. International delivery to UAE took 2 days 👌
27,Shipment was very quick and quality of clothes are extraordinary.I had tiny issue but they fixed it quickly and the communication with Dale was very smooth.Will visit the store to thank you when I have a chance!
28,The whole shopping experience from choosing the items to delivery was very efficient and professional. The items are as advertised and excellent quality. I would highly recommend this retailer
29,Best quality and the whole process from buying to shipping was sooo fast😊😊
30,Excellent service great quality clothes fast delivery and packaged with a touch of luxury.
31,Good information and pictures of the trainers. Shipping was fast. That's why I'm a regular shopper from Union22.
32,Been buying all my clothes from Dale for over 5 years now He’s the most honest guy I know and nothings to much trouble he goes the extra mile for his customers he’s a true gent and has a good eye for up and coming trends and fashion houses check this guy out he’s the business 😃👍
33,Every time I use Union22 I’m blown away. The combination of incredibly low prices and a truly personal service is for me the best online shopping experience out there. I love the fact that they are a small business and that they are clear about their terms: both aspects make me really trust them.
34,"High quality, perfect garments at a very competitive price. Quick, efficient service. Thank you"
35,Received my order withinTwo days after the order was placed ..I have been ordering from Union 22for four years and never been dissatisfied they are very professional and always go to there website first to make a purchase .The item came wonderfully wrapped .5* is not enough for this review ..Raj
36,Very good service from these guys. Have used them before and will shop there again. Some fine clothes on sale as well.
37,Picked up a bargain in the sale. Dale discovered the size was out of stock but he did a solid by contacting the designer and getting hold of the size I ordered. Don’t know of any other retailer who would do this! 10/10.
38,"Usually shop Hugo Boss, Reiss etc but I feel the quality from these mid range designer outlets as dipped, it's took a while to find a company that sells quality with a great attitude to customer care and service, finally found Union 22.My first order was a pair of Tramarossa jeans pricey at £275 (normally would pay up to £150 for jeans) but the quality and fit was there to see, and hopefully they will stand the test of time."
39,"It has been a great pleasure to purchase from Union 22 with the very personal touch of Mr Dale Allman who replies immediately through an email. and even goes out of his way  to search for items from Sweden. We have purchased a lot in the past and will continue to do so even if the items are not in his website anymore.  THANK YOU MR DALE ALMAN!  WITH ALL THE BEST WISHES FROM Perth, Western Australia.. WE HOPE TO MEET YOU IN PERSON SOON JUST TO EXPRESS OUR GRATITUDE AND CONTINUE TO DO BUSINESS WITH YOU. > Rose of Oz."
40,"I like looking dapper and stylish actually. I always strive to gather sights from the mass when I am going somewhere or just walking around the town. I dunno know, mb these are traits of a true narcissist but it doesn't really matter for me. What matters is that this company offers a huge collection of various suits, costumes, shirts, tee's, sweatshirts and hoodies. I always buy here the attire as I want to look fresh nearly daily. I am quite  a smart man and I sold my old clothes and buy a new one. It's so kind of shopaholism =) So, I would highly recommend this store for all the men who want to look gorgeous and handsome."
